"";"wc";"pubs"
"1";"Anthropology";1012
"2";"Area Studies";52
"3";"Communication";562
"4";"Education & Educational Research";2484
"5";"Education, Scientific Disciplines";1289
"6";"Education, Special";157
"7";"Ergonomics";320
"8";"Ethnic Studies";34
"9";"Family Studies";160
"10";"Hospitality, Leisure, Sport & Tourism";457
"11";"Industrial Relations & Labor";185
"12";"Information Science & Library Science";1696
"13";"International Relations";294
"14";"Linguistics";998
"15";"Political Science";528
"16";"Social Issues";174
"17";"Social Sciences, Interdisciplinary";736
"18";"Social Sciences, Mathematical Methods";959
"19";"Social Work";130
"20";"Sociology";738
