;;Autores;;;Instituciones;;
Año;# Pubs.;Media;Desv. Típica;Mediana;Media;Desv. Típica;Mediana
2000;201;2,52;1,61;2;1,73;1,14;1
2001;262;2,92;2,13;2;1,85;1,41;1
2002;276;2,81;1,69;2;1,86;1,39;1
2003;302;3,39;7,53;3;2,11;3,99;2
2004;450;2,70;1,54;2;1,58;0,99;1
2005;430;2,94;2,18;2;1,86;1,21;1,5
2006;546;2,71;2,43;2;1,86;1,82;1
2007;1046;2,82;1,96;2;1,55;1,05;1
2008;727;3,15;1,75;3;2,03;1,27;2
2009;1234;3,33;1,94;3;1,91;1,36;2
2010;1363;3,15;1,88;3;2,00;1,51;2
2011;1558;3,18;1,99;3;2,07;1,59;2
2012;1538;3,23;1,94;3;2,15;1,53;2
2013;1748;3,37;2,20;3;2,32;1,79;2
